"repeat_id","outer_fold","arm","best_cost","cost","mean_inner_balanced_accuracy"
11,3,"guarded_within_partition",0.25,4,0.57
11,4,"leaky_global_selection",4,0.25,0.536880341880342
11,4,"leaky_global_selection",4,1,0.545491452991453
11,4,"leaky_global_selection",4,4,0.554102564102564
11,4,"guarded_within_partition",4,0.25,0.535491452991453
11,4,"guarded_within_partition",4,1,0.540491452991453
11,4,"guarded_within_partition",4,4,0.542991452991453
11,5,"leaky_global_selection",0.25,0.25,0.593696581196581
11,5,"leaky_global_selection",0.25,1,0.562799145299145
11,5,"leaky_global_selection",0.25,4,0.591132478632479
11,5,"guarded_within_partition",0.25,0.25,0.583632478632479
11,5,"guarded_within_partition",0.25,1,0.555299145299145
11,5,"guarded_within_partition",0.25,4,0.562799145299145
12,1,"leaky_global_selection",0.25,0.25,0.546602564102564
12,1,"leaky_global_selection",0.25,1,0.541666666666667
12,1,"leaky_global_selection",0.25,4,0.538055555555556
12,1,"guarded_within_partition",4,0.25,0.55508547008547
12,1,"guarded_within_partition",4,1,0.566260683760684
12,1,"guarded_within_partition",4,4,0.568760683760684
12,2,"leaky_global_selection",0.25,0.25,0.575
12,2,"leaky_global_selection",0.25,1,0.568888888888889
12,2,"leaky_global_selection",0.25,4,0.550277777777778
12,2,"guarded_within_partition",0.25,0.25,0.571388888888889
12,2,"guarded_within_partition",0.25,1,0.536666666666667
12,2,"guarded_within_partition",0.25,4,0.541666666666667
12,3,"leaky_global_selection",4,0.25,0.56008547008547
12,3,"leaky_global_selection",4,1,0.561068376068376
12,3,"leaky_global_selection",4,4,0.579871794871795
12,3,"guarded_within_partition",4,0.25,0.645769230769231
12,3,"guarded_within_partition",4,1,0.617435897435897
12,3,"guarded_within_partition",4,4,0.650769230769231
12,4,"leaky_global_selection",0.25,0.25,0.620982905982906
12,4,"leaky_global_selection",0.25,1,0.605982905982906
12,4,"leaky_global_selection",0.25,4,0.613482905982906
12,4,"guarded_within_partition",1,0.25,0.583760683760684
12,4,"guarded_within_partition",1,1,0.594871794871795
12,4,"guarded_within_partition",1,4,0.577649572649573
12,5,"leaky_global_selection",0.25,0.25,0.551196581196581
12,5,"leaky_global_selection",0.25,1,0.542521367521367
12,5,"leaky_global_selection",0.25,4,0.513333333333333
12,5,"guarded_within_partition",1,0.25,0.53267094017094
12,5,"guarded_within_partition",1,1,0.541217948717949
12,5,"guarded_within_partition",1,4,0.536217948717949
13,1,"leaky_global_selection",0.25,0.25,0.539252136752137
13,1,"leaky_global_selection",0.25,1,0.519594017094017
13,1,"leaky_global_selection",0.25,4,0.538205128205128
13,1,"guarded_within_partition",0.25,0.25,0.638205128205128
13,1,"guarded_within_partition",0.25,1,0.624529914529915
13,1,"guarded_within_partition",0.25,4,0.619529914529915
13,2,"leaky_global_selection",4,0.25,0.613141025641026
13,2,"leaky_global_selection",4,1,0.616880341880342
13,2,"leaky_global_selection",4,4,0.619380341880342
13,2,"guarded_within_partition",1,0.25,0.559679487179487
13,2,"guarded_within_partition",1,1,0.575790598290598
13,2,"guarded_within_partition",1,4,0.559615384615385
13,3,"leaky_global_selection",0.25,0.25,0.550277777777778
13,3,"leaky_global_selection",0.25,1,0.541666666666667
13,3,"leaky_global_selection",0.25,4,0.539166666666667
13,3,"guarded_within_partition",1,0.25,0.534444444444444
13,3,"guarded_within_partition",1,1,0.559166666666667
13,3,"guarded_within_partition",1,4,0.525833333333333
13,4,"leaky_global_selection",0.25,0.25,0.612094017094017
13,4,"leaky_global_selection",0.25,1,0.543974358974359
13,4,"leaky_global_selection",0.25,4,0.558696581196581
