"repeat_id","outer_fold","arm","rank","feature"
1,3,"leaky_global_selection",76,"204315_s_at"
1,3,"leaky_global_selection",77,"210024_s_at"
1,3,"leaky_global_selection",78,"202933_s_at"
1,3,"leaky_global_selection",79,"221864_at"
1,3,"leaky_global_selection",80,"203418_at"
1,3,"leaky_global_selection",81,"219752_at"
1,3,"leaky_global_selection",82,"214109_at"
1,3,"leaky_global_selection",83,"204012_s_at"
1,3,"leaky_global_selection",84,"209173_at"
1,3,"leaky_global_selection",85,"209781_s_at"
1,3,"leaky_global_selection",86,"201663_s_at"
1,3,"leaky_global_selection",87,"212022_s_at"
1,3,"leaky_global_selection",88,"207039_at"
1,3,"leaky_global_selection",89,"211466_at"
1,3,"leaky_global_selection",90,"206754_s_at"
1,3,"leaky_global_selection",91,"221934_s_at"
1,3,"leaky_global_selection",92,"210074_at"
1,3,"leaky_global_selection",93,"203066_at"
1,3,"leaky_global_selection",94,"209421_at"
1,3,"leaky_global_selection",95,"209603_at"
1,3,"leaky_global_selection",96,"209408_at"
1,3,"leaky_global_selection",97,"203397_s_at"
1,3,"leaky_global_selection",98,"205074_at"
1,3,"leaky_global_selection",99,"202240_at"
1,3,"leaky_global_selection",100,"202341_s_at"
1,3,"guarded_within_partition",1,"204750_s_at"
1,3,"guarded_within_partition",2,"205548_s_at"
1,3,"guarded_within_partition",3,"213134_x_at"
1,3,"guarded_within_partition",4,"212099_at"
1,3,"guarded_within_partition",5,"204825_at"
1,3,"guarded_within_partition",6,"221986_s_at"
1,3,"guarded_within_partition",7,"218236_s_at"
1,3,"guarded_within_partition",8,"203702_s_at"
1,3,"guarded_within_partition",9,"209623_at"
1,3,"guarded_within_partition",10,"203038_at"
1,3,"guarded_within_partition",11,"203693_s_at"
1,3,"guarded_within_partition",12,"200934_at"
1,3,"guarded_within_partition",13,"205225_at"
1,3,"guarded_within_partition",14,"209114_at"
1,3,"guarded_within_partition",15,"204061_at"
1,3,"guarded_within_partition",16,"213032_at"
1,3,"guarded_within_partition",17,"201407_s_at"
1,3,"guarded_within_partition",18,"210024_s_at"
1,3,"guarded_within_partition",19,"215034_s_at"
1,3,"guarded_within_partition",20,"200011_s_at"
1,3,"guarded_within_partition",21,"209204_at"
1,3,"guarded_within_partition",22,"218776_s_at"
1,3,"guarded_within_partition",23,"209644_x_at"
1,3,"guarded_within_partition",24,"209289_at"
1,3,"guarded_within_partition",25,"218211_s_at"
1,3,"guarded_within_partition",26,"218532_s_at"
1,3,"guarded_within_partition",27,"221934_s_at"
1,3,"guarded_within_partition",28,"210758_at"
1,3,"guarded_within_partition",29,"204400_at"
1,3,"guarded_within_partition",30,"209387_s_at"
1,3,"guarded_within_partition",31,"219498_s_at"
1,3,"guarded_within_partition",32,"209386_at"
1,3,"guarded_within_partition",33,"219051_x_at"
1,3,"guarded_within_partition",34,"209290_s_at"
1,3,"guarded_within_partition",35,"212492_s_at"
1,3,"guarded_within_partition",36,"216092_s_at"
1,3,"guarded_within_partition",37,"213029_at"
1,3,"guarded_within_partition",38,"202134_s_at"
1,3,"guarded_within_partition",39,"212956_at"
1,3,"guarded_within_partition",40,"208165_s_at"
1,3,"guarded_within_partition",41,"214745_at"
1,3,"guarded_within_partition",42,"208103_s_at"
1,3,"guarded_within_partition",43,"212265_at"
1,3,"guarded_within_partition",44,"210084_x_at"
1,3,"guarded_within_partition",45,"210052_s_at"
1,3,"guarded_within_partition",46,"204822_at"
1,3,"guarded_within_partition",47,"221505_at"
1,3,"guarded_within_partition",48,"218164_at"
1,3,"guarded_within_partition",49,"211931_s_at"
1,3,"guarded_within_partition",50,"1438_at"
1,3,"guarded_within_partition",51,"209211_at"
1,3,"guarded_within_partition",52,"202263_at"
1,3,"guarded_within_partition",53,"212960_at"
1,3,"guarded_within_partition",54,"206392_s_at"
1,3,"guarded_within_partition",55,"206194_at"
1,3,"guarded_within_partition",56,"218902_at"
1,3,"guarded_within_partition",57,"205074_at"
1,3,"guarded_within_partition",58,"203358_s_at"
1,3,"guarded_within_partition",59,"222275_at"
1,3,"guarded_within_partition",60,"202412_s_at"
1,3,"guarded_within_partition",61,"214440_at"
1,3,"guarded_within_partition",62,"202933_s_at"
1,3,"guarded_within_partition",63,"200052_s_at"
1,3,"guarded_within_partition",64,"203999_at"
1,3,"guarded_within_partition",65,"211466_at"
1,3,"guarded_within_partition",66,"200718_s_at"
1,3,"guarded_within_partition",67,"205044_at"
1,3,"guarded_within_partition",68,"201177_s_at"
1,3,"guarded_within_partition",69,"219752_at"
1,3,"guarded_within_partition",70,"204775_at"
1,3,"guarded_within_partition",71,"218886_at"
1,3,"guarded_within_partition",72,"204304_s_at"
1,3,"guarded_within_partition",73,"214496_x_at"
1,3,"guarded_within_partition",74,"201231_s_at"
1,3,"guarded_within_partition",75,"217744_s_at"
1,3,"guarded_within_partition",76,"206391_at"
1,3,"guarded_within_partition",77,"213249_at"
